	AFF1.mod	BAZ1A.mod	BCLAF1.mod	BTAF1.mod	CBFB.mod	CBX1.mod	CBX3.mod	CBX5.mod	CCNT2.mod	CHD3.mod	COPS2.mod	E2F1.mod	EED.mod	ELF4.mod	EOMES.mod	ETF1.mod	ETS2.mod	FLI1.mod	FOS.mod	FOXJ2.mod	FOXO3.mod	FOXP3.mod	FUBP1.mod	FUS.mod	GATA3.mod	HAT1.mod	HBP1.mod	HDAC2.mod	HDAC4.mod	HIF1A.mod	IKZF1.mod	IRF7.mod	IRF8.mod	JUNB.mod	KLF1.mod	MAF.mod	MEF2A.mod	MLL.mod	MORF4L2.mod	MTA1.mod	NAB1.mod	NCOA3.mod	NFATC3.mod	NFKB1.mod	PATZ1.mod	PBX2.mod	PHF1.mod	PKNOX1.mod	PNN.mod	RBBP7.mod	RBL2.mod	RORC.mod	RREB1.mod	RUNX1.mod	RUNX3.mod	SKIL.mod	SMAD3.mod	SMAD7.mod	SMARCC1.mod	SMARCD2.mod	SP1.mod	STAT1.mod	STAT2.mod	STAT3.mod	STAT4.mod	STAT5B.mod	STAT6.mod	TAF2.mod	TAF9.mod	TBX21.mod	TCF12.mod	TCF7.mod	TFAM.mod	TOX.mod	WHSC1L1.mod	YY1.mod	ZBTB7B.mod	CD14.mod	CD160.mod	CD19.mod	CD244.mod	CD28.mod	CD2.mod	CD33.mod	CD3E.mod	CD4.mod	CD5.mod	CD8A.mod	CD8B.mod	CTLA4.mod	CXCR1.mod	FASLG.mod	GNLY.mod	GZMA.mod	GZMB.mod	GZMK.mod	GZMM.mod	IL15RA.mod	IL27RA.mod	IL2RA.mod	IL2RB.mod	ITGB3.mod	KIR2DL1.mod	KIR2DS4.mod	KLRD1.mod	MPO.mod	NCAM1.mod	NKG7.mod	PRF1.mod	THBD.mod	TIGIT.mod
FOXO3.mod	0	0.104166667	0	0	0	0.35483871	0	0	0	0	0	0	0	0.083333333	0	0	0	0.08	0.079545455	0.1875	1	0	0	0	0	0	0.112244898	0	0	0	0	0	0	0.457446809	0	0	0	0	0	0	0.385416667	0	0	0	0	0.367346939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0.204081633	0	0.011494253	0.260416667	0	0	0	0	0	0	0	0	0.020833333	0.04040404	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515789474	0
FOXP3.mod	0	0	0	0	0.02	0	0	0	0	0.136363636	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.010989011	0	0	0	0	0	0.052631579	0	0	0	0	0.368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011363636	0.074468085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296703297	0	0	0	0	0	0	0	0	0	0.460674157	0.102040816	0	0.092783505	0	0.364583333	0	0	0.666666667	0	0	0	0	0	0	0	0	0	0.706521739	0	0	0	0	0	0	0	0	0	0	0
FUBP1.mod	0	0	0	0.088888889	0.01	0	0	0.010526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.202531646	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252631579	0.010869565	0.181818182	0	0	0	0	0.042553191	0	0	0	0.305882353	0.104166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308510638	0	0	0.071428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUS.mod	0	0	0.068965517	0.155555556	0	0	0	0	0.011111111	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0.173913043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043478261	0.01010101	0	0	0	0	0	0	0.096774194	0	0.352941176	0.010416667	0.011363636	0	0	0	0	0	0	0	0.056818182	0	0	0	0	0	0	0	0	0.14893617	0	0	0	0	0	0	0.021505376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA3.mod	0	0	0	0	0	0	0	0	0	0.306818182	0	0	0	0	0.021505376	0	0	0	0	0	0	0.011235955	0	0	1	0	0	0	0	0	0.178947368	0	0	0	0	0.2	0	0	0	0	0	0	0.032258065	0	0	0	0	0	0	0	0.125	0.095744681	0	0	0	0	0	0.084210526	0	0	0	0	0	0	0.086021505	0	0	0	0	0	0	0.120879121	0	0	0	0	0	0	0	0	0	0.06741573	0.091836735	0	0.206185567	0	0.041666667	0.144444444	0.065217391	0.033333333	0	0	0	0	0	0.204545455	0.031914894	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361702128
HAT1.mod	0	0	0	0	0	0	0.28125	0	0	0	0	0	0	0	0	0	0.22826087	0	0	0	0	0	0	0	0	1	0	0	0.298969072	0	0	0	0	0	0	0	0.204819277	0	0	0	0	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04040404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HBP1.mod	0.086956522	0.15625	0	0	0	0.032258065	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.010416667	0.113402062	0	0	0	0	0	1	0	0	0	0	0	0	0.265957447	0	0	0	0	0	0	0.145833333	0	0	0	0	0.306122449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0.12244898	0	0.022988506	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010526316	0
HDAC2.mod	0	0	0	0	0	0	0.114583333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0.010416667	0.081632653	0	0	0	0	0	0	0	0	0	0	0	0
HDAC4.mod	0	0	0	0	0	0	0.052083333	0	0	0	0	0	0	0.010416667	0	0	0.293478261	0	0	0.041666667	0	0	0	0	0	0.34939759	0	0	1	0	0	0	0	0	0	0	0.084337349	0	0	0	0	0	0	0.09375	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020833333	0	0	0	0	0	0	0	0	0	0.171717172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011363636	0	0	0	0	0
HIF1A.mod	0.010869565	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0.022222222	0.086956522	0	0.159090909	0.010416667	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.084337349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
