,marker,subset,marker_subset,t,pval,lfc
63,PD1,CD4_naive,PD1_CD4_naive,-0.357412136809653,0.732673536521116,-0.0499846463367421
64,PD1,CD8_memory,PD1_CD8_memory,0.349545983440804,0.741614074235555,0.0350294367871216
65,CD94,CD4_memory,CD94_CD4_memory,-0.308046432622846,0.761609374591472,-0.0400454194717909
66,Eomes,CD4_naive,Eomes_CD4_naive,0.286161654847663,0.778012894580687,0.0312245655805407
67,CD57,CD8_naive,CD57_CD8_naive,0.250336913416739,0.812610250601963,0.106977141293051
68,CD57,CD4_memory,CD57_CD4_memory,-0.23570634983925,0.815679819725302,-0.0770827766423709
69,GrzmB,NKT,GrzmB_NKT,-0.225293345324366,0.823895701640005,-0.069866116254738
70,CXCR5,CD8_naive,CXCR5_CD8_naive,0.196070606580156,0.849400588273011,0.0526732511530279
71,CD57,NKT,CD57_NKT,0.184804950200256,0.85570925917913,0.0797666450903494
72,CD161,NKT,CD161_NKT,0.185634387314578,0.855711992815178,0.0364304839369036
73,CD161,NK,CD161_NK,0.157752046408494,0.87657565653479,0.0137678451074473
74,PD1,CD8_naive,PD1_CD8_naive,-0.153318921695264,0.881615945258133,-0.0082837661493546
75,CD178,NKT,CD178_NKT,-0.140627210413681,0.889418909449885,-0.0193100444612297
76,Eomes,CD4_memory,Eomes_CD4_memory,-0.121669010138917,0.904265691774658,-0.0149055422728014
77,CD127,CD4_memory,CD127_CD4_memory,-0.105439067273165,0.9213916735557,-0.0206775429214145
78,CXCR5,CD8_memory,CXCR5_CD8_memory,0.0580459174190878,0.95478040148917,0.00454002533148961
79,Eomes,CD8_memory,Eomes_CD8_memory,0.0462669237106446,0.963608793260188,0.00611640246345173
80,CD122,CD8_naive,CD122_CD8_naive,-0.0093887772260343,0.992636999450655,-0.000662460908513017
